date,ipc
09-2020,93.41
10-2020,93.43
11-2020,93.91
12-2020,93.96
01-2021,94.66
02-2021,94.54
03-2021,95.33
04-2021,95.23
05-2021,95.49
06-2021,95.98
07-2021,96.95
08-2021,97.9
09-2021,98.3
10-2021,98.87
11-2021,99.22
12-2021,100
01-2022,100.04
02-2022,100.35
03-2022,101.84
04-2022,102.82
05-2022,103.21
06-2022,104.44
07-2022,105.42
08-2022,106.13
09-2022,106.68
10-2022,107.05
11-2022,107.6
12-2022,108.46
